"text","webVideoUrl","createTime"
"Udah ya Main kabur kaburnya #kaburajadulu #animasi #3d #meme #animasiindonesia #blender ","https://www.tiktok.com/@animasimantoon/video/7475276495095729413","1740473451"
"#greenscreen #perantau #perantauan #anakrantau #kaburajadulu #indonesia #kerjadiluarnegeri #fypindonesia #fyp #fyppppppppppppppppppppppppppppppppppp #fypdongggggggg ","https://www.tiktok.com/@_reyachmad/video/7474789916866792710","1740360155"
"Terimakasih. Panjang umur perjuangan. 🫱🏻‍🫲🏽 #day29 #affiliatetiktok #KaburAjaDulu   #Bahlil  #trend  #jepang  #terimakasihyangsudahrepost  #reizukaari #iyandri #dokterfelix  #dansemuanya #eliteglobal ","https://www.tiktok.com/@babagenz/video/7471442185389460744","1739580704"
"Tanpa mengurangi rasa hormat apalagi memprovokasi,  cuma mikir aja.  Isi kepala lo akhir2 pada begini ga? 🧐 #prabowo #jokowi #kaburajadulu ","https://www.tiktok.com/@satria.prabhawa/video/7473075394971798839","1739960960"
"APAKAH BAPAK BISA MENJAMIN KESEJAHTERAAN KELUARGA KAMI?korupsi terus pejabatnya gimana mau sejahtera rakyatnya#kaburajadulu #fyp #pejuangvisa #kenshuseijapan🇮🇩🇯🇵🎌 #jishusei🇯🇵🇲🇨 ","https://www.tiktok.com/@monica_gladis/video/7471544569109302534","1739604545"
"Si paling effort 🤧#tiktokviral #fypシ゚viral #kaburajadulu ","https://www.tiktok.com/@nanas_978/video/7475286819379121415","1740475846"
"sata kata dlu buat abang ini#jisuseikensusei🇲🇨🇯🇵😜 #kaburajadulu #fyp #fypage #fypp #fyppppppppppppppppppppppp ","https://www.tiktok.com/@zennsulsel/video/7472962808229989687","1739934747"
"Part 1: #Bundacorla angkat bicara soal #kaburajadulu & juga soal susahnya nyari kerja di negeri konoha✨ #masukberandafyp #fyp #fypシ ","https://www.tiktok.com/@creator_darksistem/video/7472790094336822546","1739894534"
"fyp yokk#gfx #indonesiabubar #krisisekonomi #kaburajadulu #indonesia #rakus #fypシ゚ #korupsi ","https://www.tiktok.com/@vandz90/video/7473468465152658694","1740052480"
"Bagaimana langkah bijak menanggapi #KaburAjaDulu yang sedang jadi tren media sosial di Indonesia? Saksikan podcast ‘Si Paling Kontroversi’ bersama Hendri Satrio hanya di youtube channel Metro TV   Link disini : https://youtu.be/ArslsHF-3fw #HendriSatrio #SiPalingKontroversi #SiPalingKontroversiMetroTV #IndonesiaGelap #KaburAjaDulu #PrabowoSubianto #MetroTV","https://www.tiktok.com/@metro_tv/video/7474888851345935623","1740398400"
"𝐔𝐬𝐭𝐚𝐝𝐳 𝐀𝐛𝐝𝐮𝐥 𝐒𝐨𝐦𝐚𝐝 : 𝐊𝐚𝐛𝐮𝐫 𝐀𝐣𝐚 𝐃𝐮𝐥𝐮 #UAS #KaburAjaDulu","https://www.tiktok.com/@spardaxyz5/video/7474974225892232469","1740403069"
