author,updated_at,like_count,text,public
@MeyProjek,2025-03-01T21:06:54Z,0,"Saya Pesimis Karena Korupsi di Indonesia Gila Gilaan, yg Saya Takutkan Ini Adalah Awal Kehancuran Negri Tercinta Indonesia 😢😢😢😢",True
@farmingdokumenter7517,2025-03-01T21:06:52Z,0,INGAT DANANTARA SUKSES KALO SDM KITA JUGA HARUS DI NAIKAN KUALITASNYA,True
@awans3926,2025-03-01T21:04:51Z,0,"ikn...hambalang,...food estate 😊😊",True
@bagusindra366,2025-03-01T21:04:30Z,0,"Sy kurang yakin atau bahkan tidak yakin bila program danantara akan bisa membawa indonesia lebih maju. Melihat para pengisi kedudukan yg masih tersangkut dengan kasus2 di masa lalu. Bismillah saja, semoga yg sy takutkan tidak akan terjadi",True
@zweihander06,2025-03-01T21:00:00Z,0,selalu... rencananya terlihat menjanjikan tapi eksekusinya... tapi semoga kali ini eksekusinya berjalan dengan baik semoga..,True
@fahrurrozi8705,2025-03-01T20:56:58Z,0,Menodorong kesejateraan 7 turunan pejabat pemerintah indonesia,True
@FAZANUN,2025-03-01T20:56:03Z,0,Ini wakanda.. 😢,True
@maskatrok1196,2025-03-01T20:55:02Z,0,makan siangnya kapan sih???,True
@itjem,2025-03-01T20:54:00Z,0,"Takutnya focus investasinya adalah ikn, hilirisasi untuk kepentingan segelintir orang dan food estates yang kurang tepat",True
@afandigiri9982,2025-03-01T20:49:43Z,0,"Kalau sistemnya riba..tidak berkah,  percuma ujungnya jual aset. Rp 15000 triyun itu aset tapi uang cashnya tdk ada. MBG bukti kita ga ada dana harus efisiensi. Tidak perlu Danatara sepanjang jajaran pemerintah & rakyat takut sama Tuhan.",True
@arifpratama1045,2025-03-01T20:49:14Z,0,"udah udah udah , dri track recordnya sudah bisa di prediksi kedepannya gimana ,  utk kloni mereka udah pasti itu , gk ada yg bisa di harapkan dri org yg sudah sering omon2 , apa yg di omongin beda yg di kerjain , klo aku 1000% gk bakal percaya 😂",True
@arismulyanto9259,2025-03-01T20:47:28Z,0,Bang Raymond dan pak ahok jadi auditor independent diluar pemerintahan ❤❤❤❤,True
@AlHanafi-hw6mo,2025-03-01T20:46:24Z,0,Gagal dan hancur atau berhasil dan membaik buat indonesia,True
@maskasipem,2025-03-01T20:41:18Z,0,"10 tahun yg lalu amburadul.. presidennya dijadiin penasehat.. 

Bismillah saja dia tidak nasehatin yg politis",True
@hilmantamvanz,2025-03-01T20:37:09Z,0,Ray dalio & Tony Blair ga dibahas,True
@dienucakra3269,2025-03-01T20:35:20Z,0,Saya harap auditor luar minimal 2 dari Big 4,True
@lunar-1997,2025-03-01T20:30:11Z,0,dari dlu perusahaan bumn idenya selalu bagus tapi hasilnya korupsi 😂,True
@mangtikin1060,2025-03-01T20:27:01Z,0,"90% ragu bakal berhasil, mengingat 100hari kerja saja blunder Mulu si wowo",True
@gendamWING,2025-03-01T20:24:37Z,0,GW LEBIH PERCAYA BABI BISA TERBANG DARIPADA PROJECT INI JALAN DENGAN BENER 😂😂😂😂😂😂😂😂😂😂😂😂,True
@razaqhusain3788,2025-03-01T20:21:05Z,0,"sayangnya, korupsi masih merajalela. dan itu bikin gw skeptis ama program ini...",True
@irwanpiliangtv5814,2025-03-01T20:19:05Z,0,"LUAR BIASA BROOO...
TRUS LAH MENCERDASKAN RAKYAT , LANJUTKANNNNN.....🎉",True
@bacathriller,2025-03-01T20:13:47Z,0,2030 danantara hancur,True
@fadlawi69,2025-03-01T20:09:54Z,0,info garapan testnetnya,True
@wisnusaputra4214,2025-03-01T20:03:14Z,0,Akh ada mulyonoo.😂,True
@LocalHeart404,2025-03-01T20:02:06Z,0,Harus share record transaksi semua bank pejabat danantara,True
@ronaldalex3612,2025-03-01T20:00:37Z,0,"Di Pondok Gede ada LOBANG BUAYA
Di Menteng ada LOBANG KORUPSI 
Sayang semua seperti model pemadam kebakaran untuk berantas KORUPSI 
Mestinya ada orang pintar, berani, jujur dan bijak juga takut akan TUHAN yg bicara  kejadian yad,  kalo DANANTARA itu bukan CELAH KORUPSI (seperti PERTAMINA) tapi kemungkinan aturan/ketentuannya di desain jadi LOBANG KORUPSI",True
@Yendri88,2025-03-01T19:56:38Z,0,"Kok ada ya org sepinter Koh Reymond, jgn2 krn program mkn siang gratis wktu msa skolah ya Koh???",True
